Order ID,Product ID,Quantity
14830,2045,1
1792,2016,3
15273,2250,1
12191,953,1
15178,1395,4
2226,2468,2
16084,1284,4
3181,1660,4
10465,2037,5
10593,1393,4
11909,1208,3
5732,70,1
14927,893,3
13740,1499,2
6016,2414,4
11394,906,5
10222,2030,5
6855,973,5
11056,1851,4
18065,2258,4
13528,248,2
4664,1537,2
13692,1475,1
17113,1442,2
9567,745,1
2524,1471,3
3607,2290,1
15531,238,4
853,1786,5
1096,2327,2
10868,857,4
16607,39,1
4140,673,5
14525,1181,4
7062,372,2
4749,780,2
2587,746,2
1323,1922,2
14583,706,2
12305,2066,5
6588,289,4
16609,2316,4
16930,1707,5
15020,286,3
19342,1782,4
12330,981,2
17385,1165,2
10450,827,3
16281,2288,2
18989,1460,4
18055,1161,3
2801,1678,2
17310,1712,3
8548,746,2
13739,811,2
1198,1867,3
11581,1255,5
9390,1668,2
16740,642,5
9806,1075,5
6699,2098,5
6645,89,2
9474,1538,4
5992,1193,5
859,675,3
7217,1920,3
9597,262,3
4024,1119,1
19056,2183,5
10285,1945,3
930,171,4
5217,2401,4
10120,886,4
1844,1457,2
15721,1047,5
14477,727,1
4779,2072,3
5665,2495,4
16777,181,3
9250,210,3
9582,1061,4
7099,588,3
7036,580,1
13397,1803,3
6046,1724,5
15347,2102,4
125,2390,4
8690,381,2
14417,236,3
19485,975,5
3876,1907,3
5443,1108,5
13599,174,4
9194,1038,4
19822,1529,1
12714,155,2
960,1917,3
4420,987,5
9922,1538,4
6770,1075,3
613,333,1
12195,941,4
203,933,3
1963,263,1
10288,1999,4
1046,202,4
6716,138,3
3212,609,4
9078,1929,2
829,769,2
10564,426,3
1370,1267,3
10749,551,5
9072,2054,3
9470,255,1
19051,614,2
15194,1716,1
18996,952,2
6708,1944,1
14830,1518,2
8563,815,5
2692,1686,3
9871,932,1
16594,1631,5
1202,39,4
17497,1382,4
14287,2123,3
10591,444,3
11832,1425,3
12029,1918,1
8376,362,1
19893,1586,5
15981,2098,3
3075,1359,4
11234,1198,3
19726,342,1
2046,341,1
2253,2311,1
16378,1507,2
18757,83,1
13285,1557,4
8980,2147,2
4557,2474,3
16268,1800,4
1248,716,4
10906,2187,5
19961,1542,3
11427,979,2
2759,732,4
2144,828,2
10101,2353,2
3702,791,3
3671,2373,3
17603,375,5
3496,1845,1
18124,86,5
3534,222,4
5715,11,2
10629,315,4
8001,72,4
11553,1204,4
5847,254,1
13369,276,4
9203,1398,5
1423,1135,4
15747,2059,5
744,963,4
6914,2196,1
8242,1765,1
1424,482,5
13076,2006,4
12298,331,1
16976,681,3
19858,1572,2
1885,1135,1
8673,304,3
10041,1991,1
14158,948,4
6280,137,3
10808,1845,4
7916,1213,2
19917,2010,3
19762,530,3
17317,2283,4
9847,1525,5
17940,609,1
6110,2489,2
10385,1722,2
15132,2330,5
16571,558,5
14176,257,2
2461,2491,2
8595,966,3
19275,136,1
15020,2039,3
4776,413,4
441,2120,4
7024,218,4
15992,734,3
11099,192,4
1985,1415,3
15439,1,2
18195,1222,4
7047,455,5
15730,582,3
2256,1214,1
19139,181,3
2205,1389,2
12097,111,4
18613,987,2
2550,2427,3
11685,1260,4
2628,1373,4
2775,1286,1
4035,1337,3
6179,1257,5
11944,1755,2
19473,1296,1
18464,1253,3
15269,2378,5
3180,1782,4
14245,1006,2
10025,640,4
13363,68,3
8924,313,1
8193,2240,4
12932,1582,3
7052,2112,2
19451,2099,2
16208,932,3
8354,795,5
14675,362,2
6493,1685,5
3130,1039,5
4723,1309,5
9816,2263,5
13460,2089,5
11759,1162,1
16068,116,5
6244,2235,4
17482,1079,3
14820,2376,4
3849,1820,2
10374,2321,1
18474,2333,3
9831,1217,3
14968,272,4
18235,1056,5
721,1362,5
8690,308,3
494,1276,4
10338,1966,5
12933,1947,4
8535,2442,5
14810,1488,3
17877,1913,4
16218,2007,4
6418,1660,5
16176,165,5
18002,1018,4
5506,664,5
1988,1242,1
13630,1523,5
17740,1517,5
17858,882,1
1815,722,1
6452,1719,3
7884,1021,2
18462,1386,1
11678,465,2
12467,1149,4
913,2176,5
12364,2446,4
13071,1827,3
3503,1636,4
3110,2340,4
10748,355,5
15825,2410,5
3499,553,5
16033,394,2
2678,1408,5
19731,532,1
12335,2324,1
16428,1247,2
14727,2058,5
8771,1655,3
1866,1106,3
18193,449,3
4075,1206,4
6563,2356,1
12526,745,2
18258,2307,5
8384,994,2
213,1700,2
9800,1108,5
18992,415,2
13285,1758,1
9026,894,4
424,1071,2
10594,2219,5
12758,257,4
11693,2237,4
9878,1968,4
5365,2293,2
16087,189,5
15416,1516,4
2182,2193,1
14857,1051,3
2902,2042,5
9639,1376,2
11046,501,4
5862,681,5
7108,2137,1
10638,2059,3
17044,1146,2
1500,1429,3
13011,884,1
12652,2209,5
18504,1988,3
4395,1549,4
13341,2051,5
6969,794,4
9613,2211,5
7411,1619,3
16290,1767,1
14422,49,5
2039,674,5
17039,135,4
10284,2114,4
14993,1624,2
6427,959,1
3828,178,4
7746,1996,5
18561,2102,2
15701,378,2
2700,2500,5
17597,758,1
8248,684,3
1239,2307,3
12286,1721,2
9118,798,3
7045,862,3
12786,1597,3
17644,1428,1
17306,1746,3
9303,1727,1
3493,1406,5
9847,1752,1
10758,621,1
13023,2211,1
4359,618,3
17337,662,1
4201,574,1
5929,1189,5
17105,1537,5
7784,389,4
15429,742,3
18668,235,5
4348,892,4
10336,2394,3
8821,1424,5
3172,470,2
4353,1477,1
12171,1008,5
13997,1642,3
10156,135,5
19943,109,4
16430,1537,2
13498,427,5
19863,1661,3
5289,955,1
12966,650,3
1903,50,3
4961,159,2
12436,1127,2
14821,348,4
3998,1457,3
10367,1128,3
10871,438,4
5820,105,1
1530,1697,2
9090,175,5
2720,1908,5
9275,109,3
14575,1506,5
17923,361,2
8528,60,4
3112,2000,4
5538,1794,4
5300,327,5
13850,1623,3
10322,1036,1
16504,407,5
6841,1393,3
18934,1476,1
10085,823,3
9654,289,4
1796,1394,1
8517,1343,3
5725,1700,3
11768,1383,2
5756,746,3
3039,274,2
7801,1848,1
4267,188,1
8879,1800,3
3648,1795,4
18483,2188,3
10332,2290,1
17580,189,3
8862,693,2
13994,2424,3
3078,433,1
18341,522,5
4989,2402,5
207,845,3
15293,607,3
774,169,1
10599,2427,1
16193,1006,2
2440,268,1
14166,873,5
40,68,3
7796,1196,1
4203,686,3
9198,1556,4
6912,1057,3
18978,488,2
13962,2177,5
10957,971,5
7831,53,1
18234,2310,2
5044,1216,5
17813,2305,3
755,1533,5
1723,2341,3
517,2028,3
18127,138,1
8379,1016,3
18646,1461,1
19787,2264,4
1223,2228,1
11315,1624,3
10336,1223,5
1642,299,4
11253,1876,1
7372,387,2
7175,2430,3
4920,2291,1
15547,2283,1
10912,2175,4
16186,1893,3
19907,167,4
2380,957,2
1824,1668,1
14677,103,3
976,1436,5
2655,322,3
4772,1622,3
17075,1181,2
16763,1555,4
9245,1832,4
1000,1369,1
9403,2019,5
1613,1818,1
9691,230,2
3123,1207,4
6096,845,3
7522,343,2
1196,1175,1
11899,331,5
1391,412,1
2144,1735,3
17706,1990,2
4525,2358,3
5153,2072,1
6202,2020,5
9296,763,2
8685,1900,5
18461,2392,5
10179,556,1
3333,1117,1
9130,1096,2
4893,2462,5
9024,1313,4
16379,1362,5
19751,2091,2
18859,27,2
11096,624,2
14366,1272,5
920,2203,1
15723,895,5
9351,2369,3
11259,2298,3
11547,611,2
4096,1056,3
5672,716,2
10703,1417,4
7259,1949,2
18839,143,3
10976,936,5
18586,10,5
3558,2110,5
4463,473,1
11081,1227,5
7187,1298,4
13589,372,1
18851,881,2
13263,1188,1
18547,1345,3
18906,1331,5
19434,826,3
13524,1653,4
2036,2454,1
14190,782,2
14713,79,3
10146,354,5
1358,1541,3
16840,1699,5
9670,2404,5
18019,2358,3
18418,40,5
6537,1310,2
12049,926,5
18567,387,5
1601,176,3
6658,916,4
4764,20,2
5096,431,4
15091,1823,1
17039,1077,4
5704,1938,4
5198,2286,4
10939,169,4
7604,2420,2
11762,2106,4
511,834,3
5174,437,4
12225,2045,2
8117,1728,2
1821,224,4
19003,1015,2
213,2180,1
10029,1538,1
14025,338,2
13264,1628,3
14905,1965,5
16654,1210,5
2745,1735,2
1090,543,5
1834,903,3
8183,1904,2
3063,2108,3
14685,1459,4
10830,2392,2
7729,1809,5
9948,2044,3
8333,877,2
7049,1932,4
4301,213,2
10907,755,1
3134,1936,4
1852,2250,4
6252,1074,5
5186,918,1
8381,1120,2
15878,1080,1
17907,868,1
16939,2437,2
19636,2293,4
11132,1904,3
5808,1117,3
9661,2313,3
4460,564,2
10909,937,1
10483,690,2
6854,1560,1
5580,46,2
549,527,5
13371,268,5
17153,353,5
12209,910,2
2850,1522,2
8813,595,1
12862,128,3
8105,598,1
11704,383,3
14491,1542,1
12124,1199,1
974,739,2
7052,1695,3
15251,1388,2
360,2125,5
16180,324,1
7152,1693,4
2312,989,1
6113,2287,1
10296,652,1
19908,834,1
8994,907,3
14331,977,2
676,506,4
8041,1239,3
18847,459,5
16636,809,3
10841,2162,3
19419,630,4
7833,1421,3
16537,140,4
7753,2152,1
17111,998,1
7589,1009,2
40,704,2
8249,2493,3
940,2443,3
9168,2285,4
10353,307,4
14502,1101,3
17008,1415,4
18100,2076,5
1994,1229,5
13480,2458,4
3884,2069,5
6808,1144,4
16350,180,3
1590,2222,5
13683,1593,5
8104,1061,3
19878,448,4
10288,609,1
11158,2181,2
1882,139,4
16286,785,1
12499,2497,1
2550,1251,2
8980,287,2
11864,2307,2
18784,410,3
3523,793,5
16063,2186,2
14830,1548,2
724,201,3
19410,1037,4
15324,785,1
12488,1129,2
14582,2042,5
19119,1915,1
14495,236,3
17908,2038,5
18171,2196,1
14833,352,3
19565,1274,5
12188,1902,2
15429,2062,1
5745,759,3
6603,1768,2
1037,2344,4
896,1008,3
10660,81,4
11350,2274,2
15321,1964,3
18318,1727,2
8230,1236,1
6929,1627,4
8954,152,3
17100,1102,1
3310,853,1
4890,1750,2
7207,136,5
4637,1792,1
6497,892,2
11162,39,5
4542,1864,1
12060,125,5
9198,2144,5
1454,1879,1
5088,2021,2
6804,1434,1
15587,1298,4
14667,1624,5
11176,207,1
5043,65,2
8336,2044,5
10062,1952,2
6230,2261,3
5353,350,1
9897,309,4
7805,1753,3
11665,666,3
5283,1592,1
16204,436,2
7867,867,2
7144,760,4
13775,192,2
5761,2111,5
14113,111,5
9809,725,3
18556,244,3
15630,2421,1
15099,480,3
947,2364,1
1296,1611,4
12967,500,5
19579,2088,4
10045,2118,2
5780,1394,5
7532,1866,1
16965,2416,3
7370,3,1
18167,1245,1
12159,2329,4
10250,907,2
14868,927,3
1487,1250,2
4105,430,3
1390,2362,2
1705,1810,5
18868,1926,2
622,1636,3
19869,1234,1
4196,378,4
5183,1870,2
7859,2229,1
13135,1409,3
8536,886,1
7293,2384,3
7931,2472,4
19943,2087,5
15171,1723,5
13566,954,1
17540,285,4
2989,2404,4
10527,1324,1
17025,607,2
6004,800,3
12328,2194,2
16751,1683,1
5442,1501,1
6892,723,5
10171,2340,3
2074,1925,5
15835,1409,1
19694,1843,3
12929,1937,4
423,1846,3
10806,1363,2
16108,1273,2
12436,2488,1
15754,971,4
12085,78,5
9538,1571,3
17445,2297,4
6279,1835,2
3787,624,2
15434,434,3
10039,1731,5
17927,2134,2
1330,196,2
11804,2394,2
10722,2141,5
1051,1592,5
18658,2236,3
16017,1219,1
13506,1936,3
19623,1813,1
15860,319,4
7001,2283,5
10291,79,4
3802,2242,4
14516,2242,5
9119,1515,5
18185,1022,3
11854,2041,1
5601,1642,5
9240,1126,3
19145,1730,1
17161,694,5
3514,1309,2
14272,2450,3
17043,1954,4
14451,2136,2
11612,1486,1
2026,1738,5
3076,17,2
17429,727,1
3776,2405,4
15297,318,1
9407,811,1
15118,2077,5
3266,785,4
14651,1492,1
6101,541,4
7498,1143,5
18202,1340,2
566,2278,5
10620,1149,5
11523,2305,1
4700,385,3
9908,841,5
15930,103,3
3864,315,5
11304,1302,5
12272,809,2
4635,1550,3
17495,1451,5
17131,209,1
1483,1961,4
19237,1306,5
14157,795,2
4244,2277,3
13880,1127,1
12755,895,1
5542,497,1
3117,1186,1
9210,334,3
6190,2419,2
5978,379,1
18075,627,4
13739,1611,2
5636,319,5
7214,530,1
7635,2467,1
3882,1324,3
19842,967,5
13871,1568,1
19273,516,4
8585,2136,3
2009,53,4
3835,1418,3
18763,2173,5
19024,2038,3
12909,1647,5
14368,825,3
16103,2032,2
11358,233,1
2225,835,2
2386,2178,3
5668,1172,2
13986,654,1
6916,1820,3
19161,1608,5
2631,1346,1
9144,2358,2
4259,1678,2
13223,1803,5
15709,138,5
10585,966,3
1383,315,3
3295,351,4
