Payment ID,Order ID,Payment Type
1,37422,Cash
2,4080,Gift Card/Voucher
3,24478,Cash
4,21860,Debit Card
5,20576,Gift Card/Voucher
6,4724,Cash
7,989,Credit Card
8,69,Credit Card
9,28427,Cash
10,32589,Debit Card
11,16753,Debit Card
12,18565,Credit Card
13,347,Credit Card
14,21731,Debit Card
15,7429,Gift Card/Voucher
16,14500,Cash
17,6688,Debit Card
18,3064,Cash
19,4422,Cash
20,1872,Cash
21,27103,Cash
22,4278,Gift Card/Voucher
23,21339,Cash
24,3467,Debit Card
25,37270,Debit Card
26,39896,Credit Card
27,15769,Debit Card
28,9740,Credit Card
29,32396,Cash
30,10157,Cash
31,9598,Credit Card
32,32783,Debit Card
33,17095,Credit Card
34,1135,Debit Card
35,38835,Debit Card
36,23174,Debit Card
37,11520,Gift Card/Voucher
38,31177,Debit Card
39,28560,Credit Card
40,10188,Gift Card/Voucher
41,26330,Gift Card/Voucher
42,26851,Credit Card
43,416,Gift Card/Voucher
44,4962,Gift Card/Voucher
45,3255,Debit Card
46,1623,Gift Card/Voucher
47,2559,Credit Card
48,35213,Credit Card
49,32458,Debit Card
50,1929,Credit Card
51,36162,Cash
52,38345,Cash
53,17152,Debit Card
54,21840,Debit Card
55,32465,Gift Card/Voucher
56,19594,Credit Card
57,5434,Gift Card/Voucher
58,24303,Debit Card
59,2653,Credit Card
60,6033,Debit Card
61,11003,Gift Card/Voucher
62,18156,Gift Card/Voucher
63,38485,Cash
64,20125,Cash
65,15432,Cash
66,1607,Debit Card
67,24215,Gift Card/Voucher
68,23973,Cash
69,7184,Debit Card
70,20199,Cash
71,5101,Debit Card
72,34951,Credit Card
73,26425,Gift Card/Voucher
74,35519,Cash
75,18188,Gift Card/Voucher
76,30033,Gift Card/Voucher
77,354,Credit Card
78,8870,Debit Card
79,30972,Debit Card
80,7363,Credit Card
81,950,Debit Card
82,12111,Debit Card
83,17651,Cash
84,39485,Debit Card
85,8966,Debit Card
86,23595,Credit Card
87,23553,Gift Card/Voucher
88,11435,Cash
89,39541,Credit Card
90,10978,Debit Card
91,23652,Gift Card/Voucher
92,32865,Gift Card/Voucher
93,14998,Debit Card
94,29480,Gift Card/Voucher
95,17887,Credit Card
96,32202,Cash
97,12320,Credit Card
98,32126,Cash
99,10082,Debit Card
100,34118,Cash
101,26105,Credit Card
102,24368,Credit Card
103,28554,Debit Card
104,19185,Credit Card
105,15265,Credit Card
106,14216,Credit Card
107,21175,Gift Card/Voucher
108,3445,Cash
109,14940,Credit Card
110,34708,Gift Card/Voucher
111,1577,Credit Card
112,19504,Gift Card/Voucher
113,13364,Gift Card/Voucher
114,25341,Credit Card
115,7783,Credit Card
116,25487,Debit Card
117,28388,Cash
118,25669,Credit Card
119,33451,Cash
120,37142,Gift Card/Voucher
121,2584,Cash
122,17430,Cash
123,10616,Debit Card
124,30993,Cash
125,23376,Debit Card
126,15056,Debit Card
127,32987,Debit Card
128,6639,Gift Card/Voucher
129,32226,Cash
130,28492,Credit Card
131,17890,Cash
132,34896,Cash
133,24122,Cash
134,16561,Gift Card/Voucher
135,38178,Debit Card
136,31771,Credit Card
137,17350,Gift Card/Voucher
138,14876,Cash
139,17913,Gift Card/Voucher
140,31187,Cash
141,37044,Gift Card/Voucher
142,24976,Gift Card/Voucher
143,32756,Cash
144,26948,Credit Card
145,5121,Cash
146,31821,Cash
147,18734,Credit Card
148,18452,Credit Card
149,12443,Debit Card
150,33529,Cash
151,29609,Cash
152,24304,Credit Card
153,8992,Cash
154,14288,Debit Card
155,33320,Gift Card/Voucher
156,10821,Gift Card/Voucher
157,12603,Cash
158,36076,Cash
159,17972,Credit Card
160,30465,Cash
161,25182,Gift Card/Voucher
162,26170,Debit Card
163,9433,Credit Card
164,8998,Credit Card
165,27050,Debit Card
166,6302,Credit Card
167,30038,Credit Card
168,17248,Cash
169,19464,Credit Card
170,18399,Gift Card/Voucher
171,20070,Cash
172,753,Gift Card/Voucher
173,34227,Cash
174,31677,Credit Card
175,4889,Credit Card
176,34468,Debit Card
177,38402,Gift Card/Voucher
178,12162,Debit Card
179,22809,Gift Card/Voucher
180,18977,Credit Card
181,39321,Cash
182,4131,Cash
183,31084,Cash
184,26147,Debit Card
185,26499,Gift Card/Voucher
186,5082,Credit Card
187,444,Debit Card
188,15362,Debit Card
189,26102,Gift Card/Voucher
190,31319,Credit Card
191,8918,Cash
192,35739,Credit Card
193,848,Cash
194,29460,Credit Card
195,14481,Gift Card/Voucher
196,4391,Debit Card
197,13542,Gift Card/Voucher
198,92,Gift Card/Voucher
199,22644,Cash
200,37125,Debit Card
201,10648,Gift Card/Voucher
202,15632,Credit Card
203,23820,Credit Card
204,7994,Cash
205,34226,Gift Card/Voucher
206,30462,Gift Card/Voucher
207,7150,Gift Card/Voucher
208,25204,Debit Card
209,39167,Cash
210,10907,Credit Card
211,5108,Credit Card
212,22588,Cash
213,9368,Gift Card/Voucher
214,36600,Gift Card/Voucher
215,23424,Credit Card
216,20962,Credit Card
217,29441,Debit Card
218,25053,Gift Card/Voucher
219,22619,Cash
220,27279,Gift Card/Voucher
221,2048,Debit Card
222,10945,Gift Card/Voucher
223,8506,Cash
224,18224,Cash
225,9088,Cash
226,15953,Gift Card/Voucher
227,17341,Debit Card
228,13880,Cash
229,23220,Debit Card
230,18252,Cash
231,12581,Cash
232,32121,Gift Card/Voucher
233,30688,Gift Card/Voucher
234,4953,Cash
235,26146,Gift Card/Voucher
236,35143,Credit Card
237,5739,Credit Card
238,23632,Debit Card
239,16668,Gift Card/Voucher
240,18916,Credit Card
241,12203,Cash
242,39696,Debit Card
243,292,Cash
244,10563,Debit Card
245,9279,Credit Card
246,25795,Gift Card/Voucher
247,17499,Credit Card
248,10483,Credit Card
249,27194,Gift Card/Voucher
250,16061,Debit Card
251,25305,Debit Card
252,28544,Credit Card
253,8365,Debit Card
254,38830,Credit Card
255,32141,Cash
256,9835,Debit Card
257,30008,Debit Card
258,21360,Gift Card/Voucher
259,4097,Credit Card
260,30190,Credit Card
261,15176,Gift Card/Voucher
262,30047,Gift Card/Voucher
263,16705,Debit Card
264,26411,Gift Card/Voucher
265,31151,Credit Card
266,14754,Gift Card/Voucher
267,25205,Cash
268,36356,Debit Card
269,27351,Cash
270,12381,Credit Card
271,32475,Cash
272,16501,Cash
273,34312,Gift Card/Voucher
274,17058,Credit Card
275,18639,Cash
276,18472,Gift Card/Voucher
277,22941,Gift Card/Voucher
278,14915,Cash
279,23434,Cash
280,21996,Credit Card
281,30290,Debit Card
282,37121,Debit Card
283,24171,Gift Card/Voucher
284,18973,Cash
285,3713,Gift Card/Voucher
286,9972,Debit Card
287,12536,Debit Card
288,21339,Gift Card/Voucher
289,38540,Gift Card/Voucher
290,34066,Cash
291,25601,Debit Card
292,13683,Credit Card
293,15750,Credit Card
294,36652,Gift Card/Voucher
295,2521,Cash
296,16366,Gift Card/Voucher
297,19758,Gift Card/Voucher
298,8539,Credit Card
299,37194,Debit Card
300,39868,Debit Card
301,12297,Gift Card/Voucher
302,12744,Debit Card
303,25686,Gift Card/Voucher
304,4031,Credit Card
305,22256,Gift Card/Voucher
306,15291,Credit Card
307,30957,Gift Card/Voucher
308,28183,Credit Card
309,36936,Cash
310,2456,Cash
311,24725,Gift Card/Voucher
312,21311,Cash
313,23648,Cash
314,28971,Debit Card
315,9918,Gift Card/Voucher
316,20192,Debit Card
317,13579,Cash
318,12733,Cash
319,20266,Cash
320,5285,Gift Card/Voucher
321,25065,Cash
322,24177,Debit Card
323,15284,Cash
324,26201,Debit Card
325,5393,Gift Card/Voucher
326,13459,Gift Card/Voucher
327,23894,Debit Card
328,3996,Credit Card
329,32475,Credit Card
330,15824,Debit Card
331,39781,Cash
332,35219,Debit Card
333,4465,Gift Card/Voucher
334,22021,Credit Card
335,36539,Gift Card/Voucher
336,25135,Cash
337,23977,Debit Card
338,15463,Debit Card
339,14547,Credit Card
340,17012,Debit Card
341,37197,Credit Card
342,19328,Credit Card
343,20603,Cash
344,9445,Cash
345,29602,Cash
346,22159,Debit Card
347,14022,Gift Card/Voucher
348,37259,Debit Card
349,37726,Credit Card
350,7948,Credit Card
351,19967,Debit Card
352,32011,Credit Card
353,17275,Debit Card
354,31649,Credit Card
355,32891,Cash
356,11494,Credit Card
357,20034,Gift Card/Voucher
358,21355,Debit Card
359,4264,Debit Card
360,25153,Credit Card
361,18319,Credit Card
362,37657,Cash
363,11599,Debit Card
364,9889,Credit Card
365,13574,Credit Card
366,4278,Gift Card/Voucher
367,25353,Debit Card
368,34056,Debit Card
369,23590,Gift Card/Voucher
370,35730,Debit Card
371,14499,Debit Card
