Store ID,Store Name,Location,Phone Number,Email,Website,Latitude,Longitude
1,Castillo PLC,"73269 Allen Extension Apt. 688
South Rebeccamouth, CT 99547",6273327631,castillo_plc@example.com,http://castillo-plc.com,-79.84403578,88.43044062
2,Thomas Group,"1042 Melissa Pass
Jacksonborough, HI 33141",2443018047,thomas_group@example.com,http://thomas-group.com,25.77719488,108.6470806
3,"Kennedy, Roberson and Scott","77483 Darryl Expressway
Lake Monique, IL 97333",6410675715,kennedy_roberson_and_scott@example.com,"http://kennedy,-roberson-and-scott.com",30.61839589,5.015741434
4,Gonzalez Inc,"50512 Scott Drive Suite 491
South Stacey, TX 91354",8152672099,gonzalez_inc@example.com,http://gonzalez-inc.com,-28.56475854,-95.84771947
5,Blackwell-Morrison,"3658 James Burg Suite 491
Nguyenland, VI 58614",4328141521,blackwell-morrison@example.com,http://blackwell-morrison.com,-33.68626794,-113.2636
6,Murphy-Williamson,"69262 Caldwell Trafficway Suite 104
North Markburgh, MO 07116",6438260971,murphy-williamson@example.com,http://murphy-williamson.com,19.93019249,-85.15218693
7,Rhodes-Nguyen,"758 Charles Shoals Apt. 155
Manuelberg, VI 96038",6550500002,rhodes-nguyen@example.com,http://rhodes-nguyen.com,21.28553541,-28.25814303
8,Estrada-Leblanc,"1973 Ewing Drives
Hicksborough, FM 07468",4368105587,estrada-leblanc@example.com,http://estrada-leblanc.com,-65.75221215,28.99788835
9,"Lopez, Thomas and Farrell","02898 Porter Canyon Apt. 676
Lake Alexanderborough, WA 41343",2107405616,lopez_thomas_and_farrell@example.com,"http://lopez,-thomas-and-farrell.com",-30.73832944,3.444686369
10,"Bennett, Aguirre and Walker","922 Daniel Parkways
East Territown, ND 31611",9859346009,bennett_aguirre_and_walker@example.com,"http://bennett,-aguirre-and-walker.com",-64.67941404,58.89542925
11,Perry-Nelson,"422 Davidson Glen Suite 893
Stonestad, IA 36850",6851402975,perry-nelson@example.com,http://perry-nelson.com,-72.71527808,-107.2143149
12,Hughes Ltd,"5853 Stephanie Roads Apt. 085
Shermanfurt, NE 31449",2658479988,hughes_ltd@example.com,http://hughes-ltd.com,-39.57602822,-151.5752386
13,Wu and Sons,"Unit 0751 Box 5088
DPO AA 78526",3147825095,wu_and_sons@example.com,http://wu-and-sons.com,-42.0979045,-162.6915394
14,Hoffman LLC,"2092 Ernest Court
Lake Amy, AZ 34448",3440876998,hoffman_llc@example.com,http://hoffman-llc.com,-61.22613508,-48.35403732
